time,,gzip-pack,,matmul-p,,linpack-p,,chameleon-p,,float-operations-p,,face-detect-pigo-p,,dd,,sentimentanalysis-p,,face-detect-opencv-p,,image-process-p,,pyaes-p,,video-process-p,,CNN-p,,,,LR,,Total
4155,,0.443,,0.532,,0.532,,0.456,,0.507,,0,,4.6743,,9.9724,,43.804145,,19.6729,,20.7487,,48.51704,,32.25024,,,,64.47576,,246.585485
4170,,0.464,,0.544,,0.544,,0.438,,0.531,,0,,3.8893,,9.9724,,43.804145,,21.7048,,24.6939,,49.98336,,29.17,,,,65.10096,,250.839865
4185,,0.464,,0.544,,0.544,,0.438,,0.531,,0,,3.8893,,12.6716,,58.318568,,21.7048,,24.6939,,49.98336,,29.17,,,,65.10096,,268.053488
4200,,0.488,,0.583,,0.614,,0.504,,0.598,,33.0789,,4.7519,,12.6716,,58.318568,,0,,22.9958,,46.19944,,30.95336,,,,67.28312,,279.039688
4215,,0.488,,0.583,,0.614,,0.504,,0.598,,33.0789,,4.7519,,10.1935,,60.786649,,0,,22.9958,,46.19944,,30.95336,,,,67.28312,,279.029669
4230,,0,,0,,0,,0,,0.00346,,25.452,,4.1062,,10.1935,,60.786649,,0,,23.7531,,50.89896,,31.61456,,,,62.77824,,269.586669
4245,,0,,0,,0,,0,,0.00346,,25.452,,4.1062,,11.8459,,49.479507,,0,,23.7531,,50.89896,,31.61456,,,,62.77824,,259.931927
4260,,0,,0,,0,,0,,0,,29.8005,,4.8931,,11.8459,,49.479507,,0,,21.0246,,47.97984,,29.68384,,,,66.47448,,261.181767
4275,,0,,0,,0,,0,,0,,29.8005,,4.8931,,9.8746,,62.483652,,0,,21.0246,,47.97984,,29.68384,,,,66.47448,,272.214612
4290,,0,,0,,0,,0,,0,,27.1238,,4.3218,,9.8746,,62.483652,,0,,24.5769,,48.8948,,33.27912,,,,63.78032,,274.334992
4305,,0,,0,,0,,0,,0,,27.1238,,4.3218,,12.5392,,44.953755,,0,,24.5769,,48.8948,,33.27912,,,,63.78032,,259.469695
4320,,0,,0,,0,,0,,0,,0,,4.5324,,12.5392,,44.953755,,19.8713,,22.3458,,45.27312,,29.51696,,,,66.36536,,245.397895
4335,,0,,0,,0,,0,,0,,0,,4.5324,,10.7482,,56.045143,,19.8713,,22.3458,,45.27312,,29.51696,,,,66.36536,,254.698283
4350,,0,,0,,0,,0,,0,,0,,3.9361,,10.7482,,56.045143,,20.1324,,23.5865,,50.13456,,32.42296,,,,67.73184,,264.737703
4365,,0,,0,,0,,0,,0,,0,,3.9361,,11.7125,,53.902156,,20.1324,,23.5865,,50.13456,,32.42296,,,,67.73184,,263.559016
4380,,0,,0,,0,,0,,0,,0,,5.0418,,11.7125,,53.902156,,21.5129,,21.2194,,48.28784,,30.68968,,,,64.21224,,256.578516
4395,,0,,0,,0,,0,,0,,0,,5.0418,,9.6948,,60.990391,,21.5129,,21.2194,,48.28784,,30.68968,,,,64.21224,,261.649051
4410,,0,,0,,0,,0,,0,,32.5694,,4.2423,,9.6948,,60.990391,,18.9317,,24.3517,,50.76712,,28.60584,,,,66.97264,,297.125891
4425,,0,,0,,0,,0,,0,,32.5694,,4.2423,,12.6139,,48.956138,,18.9317,,24.3517,,50.76712,,28.60584,,,,66.97264,,288.010738
4440,,0,,0,,0,,0,,0,,28.4011,,4.8437,,12.6139,,48.956138,,,,,,57.9642,,39.9614,,,,,,192.740438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.73,0,2.2,0,2.2,0,1.73,0,2.15,0,34.9925,0,5.0813,0,12.7429,0,64.215767,0,21.7218,0,24.7457,0,57.9642,,39.9614,,,,67.86248,0,309.371873
